EAN,ID,Type,sub_type,Count,main_ingredient,sub_ingredient1,sub_ingredient2,sub_ingredient3,sub_ingredient4,sub_ingredient5,sub_ingredient6,sub_ingredient7,diet_type,meat_type,is_new,Price_per_100g,Price_per_stuck,Weight(g),Brennwert(KJ),Brennwert(Kcal),Fett(g),gesättigte Fettsäuren(g),Kohlenhydrate(g),Zucker(g),Ballaststoffe(g),Eiweiß(g),Salz(g),Enthält,Allergic_material,Religious_kosher,Zutaten
M01,4260705920003,Maki,,8,Frischkäse,,,,,,,,dairy,,,3.57,3.39,95,716,171,7.7,4.7,21,4.3,0.7,3.9,2,Milch,TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Frischkäse 20% (Molkenerzeugnisse aus Milch), Speisesalz, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M02,4260705920010,Maki,,8,Lachs,,,,,,,,meat,sea,,4.52,4.29,95,689,163,3.8,0.8,22,3.5,1,10,1.9,Lachs,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 25% (Salmo salar), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M03,4260705920027,Maki,,8,Avocado,,,,,,,,veg,,,4.09,3.89,95,693,166,7.4,0.9,20,3.7,2.7,3.2,1.8,,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Avocado 25%, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M04,4260705920034,Maki,,8,Gurke,,,,,,,,veg,,,4.09,3.89,95,423,100,0.5,0.1,21,5.3,1,2,1.8,,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Gurke 25%, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M05,4260705920041,Maki,,8,Thunfisch,,,,,,,,meat,sea,,5.15,4.89,95,673,159,4.6,1.2,22,4.9,0.7,7.6,1.9,Thunfisch,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Thunfisch 25%, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M06,4260705920058,Maki,,8,Hühnchen,Frischkäse,Gurke,,,,,,meat,bird,,3.78,3.59,95,648,154,5.2,2.5,21,5.2,0.8,4.9,1.9,Milch,TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), gebratenes Hähnchenbrustfilet 10% (Hähnchenbrustfilet 99%,Salz, Pfeffer), Frischkäse 10% (Molkenerzeugnisse aus Milch), Gurke 10%, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M07,4260705920065,Maki,,8,Lachs,Avocado,Salat,,,,,,meat,,,4.21,5.69,135,445,105,3.2,0.7,15,2.5,0.8,3.6,1.1,,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 15% (Salmo salar), Avocado 15%, Kopfsalat, Reispapier (Reismehl, Tapiokamehl,Wasser, Salz) Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M08,4260705920072,Ura Maki,,8,Lachs,Avocado,,,,,,,meat,sea,,4.44,5.99,135,640,152,5.6,1.2,19,4.8,1.5,5.8,1.6,"Lachs, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 15% (Salmo salar), Avocado 15%, Sesam, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M09,4260705920089,Edamame,Salat,1,,,,,,,,,veg,,TRUE,3.99,2.99,75,518,123,5,0.8,6.5,1.8,,9,0,Sojabohnen,TRUE,,"Sojabohnen, Salz"
M10a,4260705920096,Ura Maki,,8,Gurke,gelber Rettich,Avocado,,,,,,veg,,,3.86,5.59,145,477,113,2.8,0.4,18,3.6,2.4,2.6,1.5,Sesamsamen,TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Gurke 15%, Rettich 15% (Rettich 90%, Wasser Salz, Säuerungsmittel: E260, E 330, Konservierungsstoffe: E 202, E223; Süßungsmittel: E 950, E 951 (Aspartam), E 954; Farbstoff: E 101), Avocado 10%, Sesam, Algen. Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
